title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2376341,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1248068,
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,480642,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,194197,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1249655,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,454053,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1135367,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,267518,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,663758,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119931,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147929,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,490014,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1377548,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127358,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1073316,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,551760,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,837960,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,223913,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143424,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1757390,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106626,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1301480,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213314,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1376010,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,476652,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,945428,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,115073,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82893,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113754,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,964392,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14189,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,889869,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,343106,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,341197,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,715959,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64890,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,881484,
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,400718,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80829,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,287980,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,131392,
"48 Hrs.",movie,"Action, Comedy, Crime",1982,tt0083511,6.9,89652,
"Star Trek: The Motion Picture",movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,99573,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,510440,
"Star Trek II: The Wrath of Khan",movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,132625,
"Star Trek III: The Search for Spock",movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,88488,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.5,198574,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,597377,
"Star Trek IV: The Voyage Home",movie,"Adventure, Comedy, Sci-Fi",1986,tt0092007,7.3,94077,
"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,66081,
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,83074,
"The Big Blue",movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,56837,
"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,35305,
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,602095,
"Lucky Number Slevin",movie,"Crime, Drama, Thriller",2006,tt0425210,7.7,332570,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,174762,
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,89199,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,818016,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,500195,
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1128621,
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,134966,
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,81326,
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,85935,
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,123996,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,70318,
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,360115,
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,25010,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,502891,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110135,
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,104166,
"The Cabinet of Dr. Caligari",movie,"Horror, Mystery, Thriller",1920,tt0010323,8,73424,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2122342,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1427702,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439172,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194947,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93625,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196029,
"Pocketful of Miracles",movie,"Comedy, Drama",1961,tt0055312,7.1,8378,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23826,
